sample_id	cd8_fraction	treg_fraction	exhausted_cd8_frac	cytotoxic_cd8_frac	cd8_treg_ratio	macrophage_frac	immunosupp_myeloid	b_cell_frac	nk_frac	tumor_frac	immune_frac	exhaustion_index	immune_phenotype
LUNG_T06	0.0779	0.04	0.0251	0.0245	1.947	0.066	0.0636	0.1477	0.0088	0.0292	0.6696	0.3222	Inflamed
LUNG_T08	0.043	0.0537	0.0159	0.0011	0.801	0.0377	0.0127	0.2603	0.0037	0.0112	0.7817	0.3698	Excluded
LUNG_T09	0.2307	0.0258	0.1667	0.0242	8.942	0.3003	0.0161	0.037	0.0203	0.0013	0.831	0.7226	Excluded
LUNG_T18	0.0659	0.0578	0.0343	0.0089	1.14	0.2103	0.0138	0.0728	0.0078	0.2704	0.5615	0.5205	Excluded
LUNG_T19	0.0344	0.044	0.0083	0.0087	0.782	0.1699	0.0122	0.0956	0.0161	0.0509	0.7363	0.2413	Excluded
LUNG_T20	0.1306	0.0331	0.0888	0.0067	3.946	0.1582	0.0281	0.0116	0.0097	0.1079	0.6331	0.6799	Excluded
LUNG_T25	0.0378	0.0517	0.0071	0.0037	0.731	0.088	0.0021	0.3838	0.0043	0.051	0.8299	0.1878	Excluded
LUNG_T28	0.0994	0.0298	0.0648	0.0119	3.336	0.1792	0.007	0.1216	0.0125	0.2091	0.6057	0.6519	Excluded
LUNG_T30	0.0295	0.0278	0.0085	0.0085	1.061	0.17	0.0044	0.0284	0.0354	0.1915	0.596	0.2881	Excluded
LUNG_T31	0.0254	0.0231	0.0125	0.0043	1.1	0.0414	0.003	0.0746	0.0375	0.0326	0.5731	0.4921	Inflamed
LUNG_T34	0.0116	0.0067	0.0046	0.0024	1.731	0.0607	0.0116	0.0113	0.0143	0.7238	0.1824	0.3966	Inflamed
