sample_id	B cell	CD4+ T	CD8+ T (other)	Cytotoxic CD8+ T	DC	Endothelial	Exhausted CD8+ T	Fibroblast	Immunosuppressive myeloid	Macrophage	Mast cell	Monocyte	NK	Other	Pericyte	Plasma cell	Stromal other	Treg	Tumor epithelial
LUNG_T06	0.1462	0.2064	0.0283	0.0245	0.0248	0.0149	0.0251	0.1156	0.0636	0.066	0.0274	0.007	0.0088	0.1602	0.0012	0.0015	0.0093	0.04	0.0292
LUNG_T08	0.2526	0.3347	0.026	0.0011	0.0082	0.0032	0.0159	0.0473	0.0127	0.0377	0.0242	0.0035	0.0037	0.1538	0.0003	0.0077	0.0027	0.0537	0.0112
LUNG_T09	0.0318	0.1352	0.0398	0.0242	0.0263	0.0073	0.1667	0.0018	0.0161	0.3003	0.0146	0.0247	0.0203	0.1557	0.0026	0.0052	0.0003	0.0258	0.0013
LUNG_T18	0.0715	0.0923	0.0227	0.0089	0.0116	0.0046	0.0343	0.0375	0.0138	0.2103	0.0235	0.0057	0.0078	0.119	0.0019	0.0013	0.0051	0.0578	0.2704
LUNG_T19	0.0942	0.1823	0.0174	0.0087	0.0463	0.0365	0.0083	0.0172	0.0122	0.1699	0.0972	0.0383	0.0161	0.1518	0.0014	0.0014	0.006	0.044	0.0509
LUNG_T20	0.0114	0.2096	0.0351	0.0067	0.0254	0.0005	0.0888	0.0032	0.0281	0.1582	0.0206	0.0062	0.0097	0.2542	0.0	0.0002	0.001	0.0331	0.1079
LUNG_T25	0.3772	0.1767	0.027	0.0037	0.016	0.0069	0.0071	0.0043	0.0021	0.088	0.0423	0.0272	0.0043	0.1079	0.0	0.0066	0.0	0.0517	0.051
LUNG_T28	0.1082	0.0999	0.0227	0.0119	0.0064	0.0062	0.0648	0.0064	0.007	0.1792	0.0329	0.017	0.0125	0.1671	0.0011	0.0134	0.0045	0.0298	0.2091
LUNG_T30	0.0252	0.1238	0.0125	0.0085	0.0484	0.0354	0.0085	0.0159	0.0044	0.17	0.1168	0.0115	0.0354	0.1602	0.0002	0.0032	0.0007	0.0278	0.1915
LUNG_T31	0.0491	0.3272	0.0086	0.0043	0.0142	0.0242	0.0125	0.0714	0.003	0.0414	0.021	0.0057	0.0375	0.2901	0.0013	0.0255	0.0074	0.0231	0.0326
LUNG_T34	0.011	0.0375	0.0046	0.0024	0.0119	0.0058	0.0046	0.0055	0.0116	0.0607	0.0119	0.0049	0.0143	0.0805	0.0012	0.0003	0.0009	0.0067	0.7238
